target_power_mw,head_m,total_flow_m3s,overall_efficiency,turbine_1_power_mw,turbine_2_power_mw,turbine_3_power_mw,turbine_4_power_mw,turbine_5_power_mw,turbine_6_power_mw
5,10.0,76.57713445584028,0.6655824869190521,0.0,0.0,5.0,0.0,0.0,0.0
6,10.0,82.15470552217589,0.7444744536780548,0.0,0.0,6.0,0.0,0.0,0.0
7,10.0,88.79032276837121,0.8036434287473069,0.0,0.0,7.0,0.0,0.0,0.0
8,10.0,96.72691671205418,0.843089412126808,0.0,0.0,8.0,0.0,0.0,0.0
9,10.0,105.9389367968303,0.866,9.0,0.0,0.0,0.0,0.0,0.0
10,10.0,116.20681461250751,0.8772015610651974,0.0,10.0,0.0,0.0,0.0,0.0
11,10.0,126.26516258074514,0.8880555555555556,0.0,0.0,0.0,11.0,0.0,0.0
12,10.0,136.75992934070317,0.8944444444444444,0.0,0.0,0.0,12.0,0.0,0.0
13,10.0,149.22246486815334,0.8880555555555557,0.0,0.0,0.0,13.0,0.0,0.0
14,10.0,164.24599357094252,0.868888888888889,0.0,0.0,0.0,14.0,0.0,0.0
15,10.0,182.69456209635916,0.8369444444444447,0.0,0.0,0.0,15.0,0.0,0.0
16,10.0,193.84080335576405,0.8414063286555145,8.235949988205201,0.0,7.764050011794799,0.0,0.0,0.0
17,10.0,202.55570399923874,0.8555303809874976,8.747783076076828,0.0,8.252216923923172,0.0,0.0,0.0
18,10.0,212.1359575466438,0.8649464270656034,9.259243936424365,0.0,8.740756063575635,0.0,0.0,0.0
19,10.0,222.14524834877597,0.8718616305781894,9.017038633455291,9.982961366544709,0.0,0.0,0.0,0.0
20,10.0,232.1970874631334,0.8780196194380809,9.494414416139424,10.505585583860576,0.0,0.0,0.0,0.0
21,10.0,242.2551747162528,0.8836437799035384,9.484411675113515,0.0,0.0,11.515588324886485,0.0,0.0
22,10.0,252.5334611208788,0.8880445276856462,0.0,10.490007008872416,0.0,11.509992991127584,0.0,0.0
23,10.0,263.498906970314,0.8897746135651968,0.0,10.969496002926556,0.0,12.030503997073444,0.0,0.0
