time,setpoint,water_level,outflow_control,inflow_disturbance
1.0,10.0,13.1111,0,2.0
2.0,10.0,11.4914,4.9156,2.0
3.0,10.0,11.2588,2.4186,2.0
4.0,10.0,11.0756,2.3299,2.0
5.0,10.0,10.9729,2.1848,2.0
6.0,10.0,10.8924,2.1448,2.0
7.0,10.0,10.824,2.1232,2.0
8.0,10.0,10.7625,2.1107,2.0
9.0,10.0,10.7061,2.1014,2.0
10.0,10.0,10.6542,2.0936,2.0
11.0,10.0,10.6061,2.0866,2.0
12.0,10.0,10.5615,2.0802,2.0
13.0,10.0,10.5203,2.0743,2.0
14.0,10.0,10.4821,2.0688,2.0
15.0,10.0,10.4467,2.0637,2.0
16.0,10.0,10.4139,2.0591,2.0
17.0,10.0,10.3835,2.0547,2.0
18.0,10.0,10.3553,2.0507,2.0
19.0,10.0,10.3292,2.047,2.0
20.0,10.0,10.305,2.0435,2.0
21.0,10.0,10.2826,2.0403,2.0
22.0,10.0,10.2619,2.0374,2.0
23.0,10.0,10.2426,2.0346,2.0
24.0,10.0,10.2248,2.0321,2.0
25.0,10.0,10.2083,2.0297,2.0
26.0,10.0,10.193,2.0275,2.0
27.0,10.0,10.1788,2.0255,2.0
28.0,10.0,10.1657,2.0236,2.0
29.0,10.0,10.1535,2.0219,2.0
30.0,10.0,10.1422,2.0203,2.0
31.0,10.0,10.1318,2.0188,2.0
32.0,10.0,10.1221,2.0174,2.0
33.0,10.0,10.1131,2.0161,2.0
34.0,10.0,10.1048,2.015,2.0
35.0,10.0,10.0971,2.0139,2.0
36.0,10.0,10.09,2.0128,2.0
37.0,10.0,10.0834,2.0119,2.0
38.0,10.0,10.0773,2.011,2.0
39.0,10.0,10.0716,2.0102,2.0
40.0,10.0,10.0663,2.0095,2.0
41.0,10.0,10.0615,2.0088,2.0
42.0,10.0,10.0569,2.0081,2.0
43.0,10.0,10.0528,2.0075,2.0
44.0,10.0,10.0489,2.007,2.0
45.0,10.0,10.0453,2.0065,2.0
46.0,10.0,10.042,2.006,2.0
47.0,10.0,10.0389,2.0055,2.0
48.0,10.0,10.036,2.0051,2.0
49.0,10.0,10.0334,2.0048,2.0
50.0,10.0,10.0309,2.0044,2.0
51.0,10.0,10.0287,2.0041,2.0
52.0,10.0,10.0266,2.0038,2.0
53.0,10.0,10.0246,2.0035,2.0
54.0,10.0,10.0228,2.0033,2.0
55.0,10.0,10.0211,2.003,2.0
56.0,10.0,10.0196,2.0028,2.0
57.0,10.0,10.0181,2.0026,2.0
58.0,10.0,10.0168,2.0024,2.0
59.0,10.0,10.0156,2.0022,2.0
60.0,10.0,10.0144,2.0021,2.0
61.0,10.0,10.8467,2.0019,3.5
62.0,10.0,10.9476,3.3184,3.5
63.0,10.0,10.9498,3.4959,3.5
64.0,10.0,10.902,3.5862,3.5
65.0,10.0,10.8434,3.6053,3.5
66.0,10.0,10.7841,3.6069,3.5
67.0,10.0,10.7273,3.6021,3.5
68.0,10.0,10.6742,3.5956,3.5
69.0,10.0,10.6248,3.589,3.5
70.0,10.0,10.5789,3.5825,3.5
71.0,10.0,10.5364,3.5765,3.5
72.0,10.0,10.497,3.5709,3.5
73.0,10.0,10.4605,3.5657,3.5
74.0,10.0,10.4267,3.5609,3.5
75.0,10.0,10.3953,3.5564,3.5
76.0,10.0,10.3663,3.5523,3.5
77.0,10.0,10.3394,3.5484,3.5
78.0,10.0,10.3145,3.5449,3.5
79.0,10.0,10.2914,3.5416,3.5
80.0,10.0,10.27,3.5385,3.5
81.0,10.0,10.2501,3.5357,3.5
82.0,10.0,10.2318,3.5331,3.5
83.0,10.0,10.2147,3.5306,3.5
84.0,10.0,10.199,3.5284,3.5
85.0,10.0,10.1844,3.5263,3.5
86.0,10.0,10.1708,3.5244,3.5
87.0,10.0,10.1583,3.5226,3.5
88.0,10.0,10.1466,3.5209,3.5
89.0,10.0,10.1359,3.5194,3.5
90.0,10.0,10.1259,3.518,3.5
91.0,10.0,10.1166,3.5166,3.5
92.0,10.0,10.1081,3.5154,3.5
93.0,10.0,10.1001,3.5143,3.5
94.0,10.0,10.0928,3.5132,3.5
95.0,10.0,10.086,3.5123,3.5
96.0,10.0,10.0797,3.5114,3.5
97.0,10.0,10.0738,3.5105,3.5
98.0,10.0,10.0684,3.5098,3.5
99.0,10.0,10.0634,3.509,3.5
100.0,10.0,10.0587,3.5084,3.5
101.0,10.0,10.0544,3.5078,3.5
102.0,10.0,10.0504,3.5072,3.5
103.0,10.0,10.0467,3.5067,3.5
104.0,10.0,10.0433,3.5062,3.5
105.0,10.0,10.0401,3.5057,3.5
106.0,10.0,10.0371,3.5053,3.5
107.0,10.0,10.0344,3.5049,3.5
108.0,10.0,10.0319,3.5046,3.5
109.0,10.0,10.0295,3.5042,3.5
110.0,10.0,10.0274,3.5039,3.5
111.0,10.0,10.0254,3.5036,3.5
112.0,10.0,10.0235,3.5034,3.5
113.0,10.0,10.0218,3.5031,3.5
114.0,10.0,10.0202,3.5029,3.5
115.0,10.0,10.0187,3.5027,3.5
116.0,10.0,10.0173,3.5025,3.5
117.0,10.0,10.016,3.5023,3.5
118.0,10.0,10.0149,3.5021,3.5
119.0,10.0,10.0138,3.502,3.5
120.0,10.0,10.0128,3.5018,3.5
121.0,10.0,10.0118,3.5017,3.5
122.0,10.0,10.011,3.5016,3.5
123.0,10.0,10.0102,3.5014,3.5
124.0,10.0,10.0094,3.5013,3.5
125.0,10.0,10.0087,3.5012,3.5
126.0,10.0,10.0081,3.5012,3.5
127.0,10.0,10.0075,3.5011,3.5
128.0,10.0,10.0069,3.501,3.5
129.0,10.0,10.0064,3.5009,3.5
130.0,10.0,10.006,3.5008,3.5
131.0,10.0,10.0055,3.5008,3.5
