time,setpoint,water_level,pump_inflow,valve_outflow,disturbance
1.0,10.0,8.0,0.0,0.0,0.0
2.0,10.0,9.48,3.7,0,0.0
3.0,10.0,9.9448,1.162,0,0.0
4.0,10.0,10.1264,0.4541,0,0.0
5.0,10.0,10.1863,0.1496,0,0.0
6.0,10.0,10.1979,0.029,0,0.0
7.0,10.0,10.1909,0,0.0174,0.0
8.0,10.0,10.1775,0,0.0336,0.0
9.0,10.0,10.1624,0,0.0377,0.0
10.0,10.0,10.1475,0,0.0371,0.0
11.0,10.0,10.1336,0,0.0348,0.0
12.0,10.0,10.1209,0,0.0319,0.0
13.0,10.0,10.1093,0,0.029,0.0
14.0,10.0,10.0987,0,0.0263,0.0
15.0,10.0,10.0892,0,0.0238,0.0
16.0,10.0,10.0806,0,0.0215,0.0
17.0,10.0,10.0728,0,0.0195,0.0
18.0,10.0,10.0658,0,0.0176,0.0
19.0,10.0,10.0594,0,0.0159,0.0
20.0,10.0,10.0537,0,0.0143,0.0
21.0,10.0,10.0485,0,0.013,0.0
22.0,10.0,10.0438,0,0.0117,0.0
23.0,10.0,10.0396,0,0.0106,0.0
24.0,10.0,10.0358,0,0.0096,0.0
25.0,10.0,10.0323,0,0.0086,0.0
26.0,10.0,10.0292,0,0.0078,0.0
27.0,10.0,10.0264,0,0.007,0.0
28.0,10.0,10.0238,0,0.0064,0.0
29.0,10.0,10.0215,0,0.0058,0.0
30.0,10.0,10.0194,0,0.0052,0.0
31.0,10.0,10.0176,0,0.0047,0.0
32.0,10.0,10.0159,0,0.0042,0.0
33.0,10.0,10.0143,0,0.0038,0.0
34.0,10.0,10.013,0,0.0035,0.0
35.0,10.0,10.0117,0,0.0031,0.0
36.0,10.0,10.0106,0,0.0028,0.0
37.0,10.0,10.0096,0,0.0026,0.0
38.0,10.0,10.0086,0,0.0023,0.0
39.0,10.0,10.0078,0,0.0021,0.0
40.0,10.0,10.007,0,0.0019,0.0
41.0,10.0,10.0064,0,0.0017,0.0
42.0,10.0,10.0057,0,0.0015,0.0
43.0,10.0,10.0052,0,0.0014,0.0
44.0,10.0,10.0047,0,0.0013,0.0
45.0,10.0,10.0042,0,0.0011,0.0
46.0,10.0,10.0038,0,0.001,0.0
47.0,10.0,10.0035,0,0.0009,0.0
48.0,10.0,10.0031,0,0.0008,0.0
49.0,10.0,10.0028,0,0.0008,0.0
50.0,10.0,10.0026,0,0.0007,0.0
51.0,10.0,10.0023,0,0.0006,0.0
52.0,10.0,10.0021,0,0.0006,0.0
53.0,10.0,10.0019,0,0.0005,0.0
54.0,10.0,10.0017,0,0.0005,0.0
55.0,10.0,10.0015,0,0.0004,0.0
56.0,10.0,10.0014,0,0.0004,0.0
57.0,10.0,10.0013,0,0.0003,0.0
58.0,10.0,10.0011,0,0.0003,0.0
59.0,10.0,10.001,0,0.0003,0.0
60.0,10.0,10.0009,0,0.0002,0.0
61.0,10.0,10.0008,0,0.0002,0.0
62.0,10.0,10.0008,0,0.0002,0.0
63.0,10.0,10.0007,0,0.0002,0.0
64.0,10.0,10.0006,0,0.0002,0.0
65.0,10.0,10.0006,0,0.0001,0.0
66.0,10.0,10.0005,0,0.0001,0.0
67.0,10.0,10.0005,0,0.0001,0.0
68.0,10.0,10.0004,0,0.0001,0.0
69.0,10.0,10.0004,0,0.0001,0.0
70.0,10.0,10.0003,0,0.0001,0.0
71.0,10.0,10.0003,0,0.0001,0.0
72.0,10.0,10.0003,0,0.0001,0.0
73.0,10.0,10.0002,0,0.0001,0.0
74.0,10.0,10.0002,0,0.0001,0.0
75.0,10.0,10.0002,0,0.0001,0.0
76.0,10.0,10.0002,0,0.0,0.0
77.0,10.0,10.0002,0,0.0,0.0
78.0,10.0,10.0001,0,0.0,0.0
79.0,10.0,10.0001,0,0.0,0.0
80.0,10.0,10.0001,0,0.0,0.0
81.0,10.0,10.0001,0,0.0,0.0
82.0,10.0,10.0001,0,0.0,0.0
83.0,10.0,10.0001,0,0.0,0.0
84.0,10.0,10.0001,0,0.0,0.0
85.0,10.0,10.0001,0,0.0,0.0
86.0,10.0,10.0001,0,0.0,0.0
87.0,10.0,10.0001,0,0.0,0.0
88.0,10.0,10.0001,0,0.0,0.0
89.0,10.0,10.0,0,0.0,0.0
90.0,10.0,10.0,0,0.0,0.0
91.0,10.0,10.0,0,0.0,0.0
92.0,10.0,10.0,0,0.0,0.0
93.0,10.0,10.0,0,0.0,0.0
94.0,10.0,10.0,0,0.0,0.0
95.0,10.0,10.0,0,0.0,0.0
96.0,10.0,10.0,0,0.0,0.0
97.0,10.0,10.0,0,0.0,0.0
98.0,10.0,10.0,0,0.0,0.0
99.0,10.0,10.0,0,0.0,0.0
100.0,10.0,10.0,0,0.0,0.0
101.0,10.0,9.0,0,0.0,2.5
102.0,10.0,8.74,1.85,0,2.5
103.0,10.0,8.7124,2.431,0,2.5
104.0,10.0,8.7756,2.6581,0,2.5
105.0,10.0,8.8688,2.7329,0,2.5
106.0,10.0,8.9677,2.7474,0,2.5
107.0,10.0,9.0632,2.7387,0,2.5
108.0,10.0,9.1519,2.7218,0,2.5
109.0,10.0,9.2331,2.703,0,2.5
110.0,10.0,9.3069,2.6844,0,2.5
111.0,10.0,9.3737,2.667,0,2.5
112.0,10.0,9.4341,2.6511,0,2.5
113.0,10.0,9.4888,2.6366,0,2.5
114.0,10.0,9.5381,2.6234,0,2.5
115.0,10.0,9.5827,2.6115,0,2.5
116.0,10.0,9.623,2.6007,0,2.5
117.0,10.0,9.6594,2.591,0,2.5
118.0,10.0,9.6923,2.5822,0,2.5
119.0,10.0,9.722,2.5743,0,2.5
120.0,10.0,9.7489,2.5671,0,2.5
121.0,10.0,9.7731,2.5606,0,2.5
122.0,10.0,9.795,2.5548,0,2.5
123.0,10.0,9.8148,2.5495,0,2.5
124.0,10.0,9.8327,2.5447,0,2.5
125.0,10.0,9.8489,2.5404,0,2.5
126.0,10.0,9.8635,2.5365,0,2.5
127.0,10.0,9.8766,2.533,0,2.5
128.0,10.0,9.8886,2.5298,0,2.5
129.0,10.0,9.8993,2.5269,0,2.5
130.0,10.0,9.909,2.5243,0,2.5
131.0,10.0,9.9178,2.522,0,2.5
132.0,10.0,9.9258,2.5198,0,2.5
133.0,10.0,9.9329,2.5179,0,2.5
134.0,10.0,9.9394,2.5162,0,2.5
135.0,10.0,9.9453,2.5146,0,2.5
136.0,10.0,9.9505,2.5132,0,2.5
137.0,10.0,9.9553,2.5119,0,2.5
138.0,10.0,9.9596,2.5108,0,2.5
139.0,10.0,9.9635,2.5097,0,2.5
140.0,10.0,9.9671,2.5088,0,2.5
141.0,10.0,9.9702,2.508,0,2.5
142.0,10.0,9.9731,2.5072,0,2.5
143.0,10.0,9.9757,2.5065,0,2.5
144.0,10.0,9.9781,2.5059,0,2.5
145.0,10.0,9.9802,2.5053,0,2.5
146.0,10.0,9.9821,2.5048,0,2.5
147.0,10.0,9.9838,2.5043,0,2.5
148.0,10.0,9.9854,2.5039,0,2.5
149.0,10.0,9.9868,2.5035,0,2.5
150.0,10.0,9.9881,2.5032,0,2.5
151.0,10.0,9.9892,2.5029,0,2.5
152.0,10.0,9.9903,2.5026,0,2.5
153.0,10.0,9.9912,2.5024,0,2.5
154.0,10.0,9.9921,2.5021,0,2.5
155.0,10.0,9.9928,2.5019,0,2.5
156.0,10.0,9.9935,2.5017,0,2.5
157.0,10.0,9.9941,2.5016,0,2.5
158.0,10.0,9.9947,2.5014,0,2.5
159.0,10.0,9.9952,2.5013,0,2.5
160.0,10.0,9.9957,2.5012,0,2.5
161.0,10.0,9.9961,2.501,0,2.5
162.0,10.0,9.9965,2.5009,0,2.5
163.0,10.0,9.9968,2.5009,0,2.5
164.0,10.0,9.9971,2.5008,0,2.5
165.0,10.0,9.9974,2.5007,0,2.5
166.0,10.0,9.9977,2.5006,0,2.5
167.0,10.0,9.9979,2.5006,0,2.5
168.0,10.0,9.9981,2.5005,0,2.5
169.0,10.0,9.9983,2.5005,0,2.5
170.0,10.0,9.9984,2.5004,0,2.5
171.0,10.0,9.9986,2.5004,0,2.5
172.0,10.0,9.9987,2.5003,0,2.5
173.0,10.0,9.9988,2.5003,0,2.5
174.0,10.0,9.999,2.5003,0,2.5
175.0,10.0,9.9991,2.5003,0,2.5
176.0,10.0,9.9991,2.5002,0,2.5
177.0,10.0,9.9992,2.5002,0,2.5
178.0,10.0,9.9993,2.5002,0,2.5
179.0,10.0,9.9994,2.5002,0,2.5
180.0,10.0,9.9994,2.5002,0,2.5
181.0,10.0,9.9995,2.5001,0,2.5
182.0,10.0,9.9995,2.5001,0,2.5
183.0,10.0,9.9996,2.5001,0,2.5
184.0,10.0,9.9996,2.5001,0,2.5
185.0,10.0,9.9997,2.5001,0,2.5
186.0,10.0,9.9997,2.5001,0,2.5
187.0,10.0,9.9997,2.5001,0,2.5
188.0,10.0,9.9997,2.5001,0,2.5
189.0,10.0,9.9998,2.5001,0,2.5
190.0,10.0,9.9998,2.5001,0,2.5
191.0,10.0,9.9998,2.5,0,2.5
192.0,10.0,9.9998,2.5,0,2.5
193.0,10.0,9.9998,2.5,0,2.5
194.0,10.0,9.9999,2.5,0,2.5
195.0,10.0,9.9999,2.5,0,2.5
196.0,10.0,9.9999,2.5,0,2.5
197.0,10.0,9.9999,2.5,0,2.5
198.0,10.0,9.9999,2.5,0,2.5
199.0,10.0,9.9999,2.5,0,2.5
200.0,10.0,9.9999,2.5,0,2.5
201.0,10.0,9.9999,2.5,0,2.5
202.0,10.0,9.9999,2.5,0,2.5
203.0,10.0,9.9999,2.5,0,2.5
204.0,10.0,10.0,2.5,0,2.5
205.0,10.0,10.0,2.5,0,2.5
206.0,10.0,10.0,2.5,0,2.5
207.0,10.0,10.0,2.5,0,2.5
208.0,10.0,10.0,2.5,0,2.5
209.0,10.0,10.0,2.5,0,2.5
210.0,10.0,10.0,2.5,0,2.5
211.0,10.0,10.0,2.5,0,2.5
212.0,10.0,10.0,2.5,0,2.5
