time,setpoint,true_water_level,noisy_water_level,inflow_control,outflow_disturbance
1.0,10.0,4.75,4.8088,0,0.5
2.0,10.0,4.5,4.4704,0,0.5
3.0,10.0,4.25,4.2041,0,0.5
4.0,10.0,4.0,4.1407,0,0.5
5.0,10.0,3.75,3.4283,0,0.5
6.0,10.0,3.5,3.4,0,0.5
7.0,10.0,3.25,3.0914,0,0.5
8.0,10.0,3.0,2.8913,0,0.5
9.0,10.0,2.75,2.527,0,0.5
10.0,10.0,2.5,2.6117,0,0.5
11.0,10.0,2.25,2.2759,0,0.5
12.0,10.0,2.0,2.0577,0,0.5
13.0,10.0,1.75,1.8485,0,0.5
14.0,10.0,1.5,1.4041,0,0.5
15.0,10.0,1.25,1.2682,0,0.5
16.0,10.0,1.0,0.7992,0,0.5
17.0,10.0,0.75,0.2822,0,0.5
18.0,10.0,0.5,0.7777,0,0.5
19.0,10.0,0.25,0.3148,0,0.5
20.0,10.0,0.0,0.0377,0,0.5
21.0,10.0,0.0,-0.4909,0,0.5
22.0,10.0,0.0,0.2389,0,0.5
23.0,10.0,0.0,-0.1786,0,0.5
24.0,10.0,0.0,-0.3157,0,0.5
25.0,10.0,0.0,0.1369,0,0.5
26.0,10.0,0.0,0.1542,0,0.5
27.0,10.0,0.0,-0.2529,0,0.5
28.0,10.0,0.0,-0.1254,0,0.5
29.0,10.0,0.0,-0.159,0,0.5
30.0,10.0,0.0,-0.1221,0,0.5
31.0,10.0,0.0,-0.0268,0,0.5
32.0,10.0,0.0,0.5318,0,0.5
33.0,10.0,0.0,-0.0992,0,0.5
34.0,10.0,0.0,-0.0503,0,0.5
35.0,10.0,0.0,0.2244,0,0.5
36.0,10.0,0.0,-0.0174,0,0.5
37.0,10.0,0.0,-0.3159,0,0.5
38.0,10.0,0.0,-0.2817,0,0.5
39.0,10.0,0.0,-0.044,0,0.5
40.0,10.0,0.0,0.0772,0,0.5
41.0,10.0,0.0,0.2768,0,0.5
42.0,10.0,0.0,-0.2588,0,0.5
43.0,10.0,0.0,0.5889,0,0.5
44.0,10.0,0.0,0.2209,0,0.5
45.0,10.0,0.0,0.0774,0,0.5
46.0,10.0,0.0,0.3303,0,0.5
47.0,10.0,0.0,0.0397,0,0.5
48.0,10.0,0.0,0.1875,0,0.5
