time,setpoint,water_level,commanded_inflow,actual_inflow,outflow_disturbance
1.0,10.0,4.75,0.0,0,0.5
2.0,10.0,4.5,0.0,0,0.5
3.0,10.0,4.25,0.0,0,0.5
4.0,10.0,4.0,0.0,0,0.5
5.0,10.0,3.7765,0.0,0.0529,0.5
6.0,10.0,3.5265,0.0,0,0.5
7.0,10.0,3.3326,0.0,0.1123,0.5
8.0,10.0,3.0826,0.0,0,0.5
9.0,10.0,2.8672,0.0,0.0692,0.5
10.0,10.0,2.6172,0.0,0,0.5
11.0,10.0,2.3995,0.0,0.0646,0.5
12.0,10.0,2.2074,0.0,0.1158,0.5
13.0,10.0,1.9885,0.0,0.0623,0.5
14.0,10.0,1.8185,0.0,0.1599,0.5
15.0,10.0,1.5685,0.0,0,0.5
16.0,10.0,1.3751,0.0,0.1132,0.5
17.0,10.0,1.1251,0.0,0,0.5
18.0,10.0,0.8751,0.0,0,0.5
19.0,10.0,0.6251,0.0,0,0.5
20.0,10.0,0.3751,0.0,0,0.5
21.0,10.0,0.1251,0.0,0,0.5
22.0,10.0,0.0,0.0,0,0.5
23.0,10.0,0.0,0.0,0.0126,0.5
24.0,10.0,0.0,0.0,0,0.5
25.0,10.0,0.0,0.0,0,0.5
26.0,10.0,0.0,0.0,0.0131,0.5
27.0,10.0,0.0,0.0,0,0.5
28.0,10.0,0.0,0.0,0,0.5
29.0,10.0,0.0,0.0,0.0777,0.5
30.0,10.0,0.0,0.0,0,0.5
31.0,10.0,0.0,0.0,0,0.5
32.0,10.0,0.0,0.0,0.0081,0.5
33.0,10.0,0.0,0.0,0,0.5
34.0,10.0,0.0,0.0,0,0.5
35.0,10.0,0.0,0.0,0.1515,0.5
36.0,10.0,0.0,0.0,0.0722,0.5
37.0,10.0,0.0,0.0,0.132,0.5
38.0,10.0,0.0,0.0,0.0018,0.5
39.0,10.0,0.0,0.0,0.0267,0.5
40.0,10.0,0.0,0.0,0,0.5
41.0,10.0,0.0,0.0,0.1711,0.5
42.0,10.0,0.0,0.0,0,0.5
43.0,10.0,0.0,0.0,0.1007,0.5
44.0,10.0,0.0,0.0,0,0.5
45.0,10.0,0.0,0.0,0.0299,0.5
46.0,10.0,0.0,0.0,0.01,0.5
47.0,10.0,0.0,0.0,0.0181,0.5
48.0,10.0,0.0,0.0,0,0.5
49.0,10.0,0.0,0.0,0,0.5
50.0,10.0,0.0,0.0,0,0.5
51.0,10.0,0.0,0.0,0.0323,1.5
52.0,10.0,0.0,0.0,0.1336,1.5
53.0,10.0,0.0,0.0,0,1.5
54.0,10.0,0.0,0.0,0,1.5
55.0,10.0,0.0,0.0,0,1.5
56.0,10.0,0.0,0.0,0.0993,1.5
57.0,10.0,0.0,0.0,0.0948,1.5
58.0,10.0,0.0,0.0,0,1.5
59.0,10.0,0.0,0.0,0,1.5
60.0,10.0,0.0,0.0,0.0476,1.5
61.0,10.0,0.0,0.0,0,1.5
62.0,10.0,0.0,0.0,0.0184,1.5
63.0,10.0,0.0,0.0,0,1.5
64.0,10.0,0.0,0.0,0,1.5
65.0,10.0,0.0,0.0,0,1.5
66.0,10.0,0.0,0.0,0,1.5
67.0,10.0,0.0,0.0,0.0009,1.5
68.0,10.0,0.0,0.0,0,1.5
69.0,10.0,0.0,0.0,0.2763,1.5
70.0,10.0,0.0,0.0,0.0156,1.5
71.0,10.0,0.0,0.0,0,1.5
72.0,10.0,0.0,0.0,0,1.5
73.0,10.0,0.0,0.0,0,1.5
74.0,10.0,0.0,0.0,0.1421,1.5
75.0,10.0,0.0,0.0,0.0633,1.5
76.0,10.0,0.0,0.0,0.008,1.5
77.0,10.0,0.0,0.0,0,1.5
78.0,10.0,0.0,0.0,0.0471,1.5
79.0,10.0,0.0,0.0,0.063,1.5
80.0,10.0,0.0,0.0,0.0588,1.5
81.0,10.0,0.0,0.0,0.0034,1.5
82.0,10.0,0.0,0.0,0,1.5
83.0,10.0,0.0,0.0,0,1.5
84.0,10.0,0.0,0.0,0,1.5
85.0,10.0,0.0,0.0,0,1.5
86.0,10.0,0.0,0.0,0.0853,1.5
87.0,10.0,0.0,0.0,0.1071,1.5
88.0,10.0,0.0,0.0,0.0343,1.5
89.0,10.0,0.0,0.0,0,1.5
90.0,10.0,0.0,0.0,0.0809,1.5
91.0,10.0,0.0,0.0,0,1.5
92.0,10.0,0.0,0.0,0.0204,1.5
93.0,10.0,0.0,0.0,0,1.5
94.0,10.0,0.0,0.0,0,1.5
95.0,10.0,0.0,0.0,0,1.5
96.0,10.0,0.0,0.0,0.05,1.5
97.0,10.0,0.0,0.0,0.138,1.5
98.0,10.0,0.0,0.0,0.236,1.5
99.0,10.0,0.0,0.0,0,1.5
100.0,10.0,0.0,0.0,0,1.5
101.0,10.0,0.0,0.0,0.0946,1.5
102.0,10.0,0.0,0.0,0.1588,1.5
103.0,10.0,0.0,0.0,0.0334,1.5
104.0,10.0,0.0,0.0,0,1.5
105.0,10.0,0.0,0.0,0.011,1.5
106.0,10.0,0.0,0.0,0,1.5
107.0,10.0,0.0,0.0,0.3076,1.5
108.0,10.0,0.0,0.0,0,1.5
109.0,10.0,0.0,0.0,0.0291,1.5
110.0,10.0,0.0,0.0,0.183,1.5
111.0,10.0,0.0,0.0,0,1.5
112.0,10.0,0.0,0.0,0.0477,1.5
113.0,10.0,0.0,0.0,0.0741,1.5
114.0,10.0,0.0,0.0,0,1.5
115.0,10.0,0.0,0.0,0,1.5
116.0,10.0,0.0,0.0,0.0602,1.5
117.0,10.0,0.0,0.0,0.0077,1.5
118.0,10.0,0.0,0.0,0,1.5
119.0,10.0,0.0,0.0,0,1.5
120.0,10.0,0.0,0.0,0.0236,1.5
121.0,10.0,0.0,0.0,0.0534,1.5
122.0,10.0,0.0,0.0,0.1269,1.5
123.0,10.0,0.0,0.0,0,1.5
124.0,10.0,0.0,0.0,0,1.5
125.0,10.0,0.0,0.0,0.0687,1.5
126.0,10.0,0.0,0.0,0,1.5
127.0,10.0,0.0,0.0,0,1.5
128.0,10.0,0.0,0.0,0,1.5
129.0,10.0,0.0,0.0,0.0199,1.5
130.0,10.0,0.0,0.0,0.0528,1.5
131.0,10.0,0.0,0.0,0,0.8
132.0,10.0,0.0,0.0,0,0.8
133.0,10.0,0.0,0.0,0.0747,0.8
134.0,10.0,0.0,0.0,0,0.8
135.0,10.0,0.0,0.0,0.06,0.8
136.0,10.0,0.0,0.0,0,0.8
137.0,10.0,0.0,0.0,0.0636,0.8
138.0,10.0,0.0,0.0,0.1365,0.8
139.0,10.0,0.0,0.0,0.0051,0.8
140.0,10.0,0.0,0.0,0.1055,0.8
141.0,10.0,0.0,0.0,0.0812,0.8
142.0,10.0,0.0,0.0,0.2401,0.8
143.0,10.0,0.0,0.0,0,0.8
144.0,10.0,0.0,0.0,0.0568,0.8
145.0,10.0,0.0,0.0,0.02,0.8
146.0,10.0,0.0,0.0,0,0.8
147.0,10.0,0.0,0.0,0,0.8
148.0,10.0,0.0,0.0,0,0.8
149.0,10.0,0.0,0.0,0.0698,0.8
150.0,10.0,0.0,0.0,0.0586,0.8
151.0,10.0,0.0,0.0,0.0413,0.8
152.0,10.0,0.0,0.0,0,0.8
153.0,10.0,0.0,0.0,0.0155,0.8
154.0,10.0,0.0,0.0,0.0242,0.8
155.0,10.0,0.0,0.0,0.0625,0.8
156.0,10.0,0.0,0.0,0.035,0.8
157.0,10.0,0.0,0.0,0,0.8
158.0,10.0,0.0,0.0,0,0.8
159.0,10.0,0.0,0.0,0.0883,0.8
160.0,10.0,0.0,0.0,0.0403,0.8
161.0,10.0,0.0,0.0,0,0.8
162.0,10.0,0.0,0.0,0,0.8
163.0,10.0,0.0,0.0,0.0283,0.8
164.0,10.0,0.0,0.0,0.0736,0.8
165.0,10.0,0.0,0.0,0.0528,0.8
166.0,10.0,0.0,0.0,0.0316,0.8
167.0,10.0,0.0,0.0,0.0284,0.8
168.0,10.0,0.0,0.0,0.2117,0.8
169.0,10.0,0.0,0.0,0.0383,0.8
170.0,10.0,0.0,0.0,0,0.8
171.0,10.0,0.0,0.0,0,0.8
172.0,10.0,0.0,0.0,0,0.8
173.0,10.0,0.0,0.0,0,0.8
174.0,10.0,0.0,0.0,0,0.8
175.0,10.0,0.0,0.0,0.0735,0.8
176.0,10.0,0.0,0.0,0,0.8
177.0,10.0,0.0,0.0,0.1028,0.8
178.0,10.0,0.0,0.0,0,0.8
179.0,10.0,0.0,0.0,0.0208,0.8
180.0,10.0,0.0,0.0,0.1461,0.8
181.0,10.0,0.0,0.0,0.0694,0.8
182.0,10.0,0.0,0.0,0.0237,0.8
183.0,10.0,0.0,0.0,0.1369,0.8
184.0,10.0,0.0,0.0,0,0.8
185.0,10.0,0.0,0.0,0.0755,0.8
186.0,10.0,0.0,0.0,0.0662,0.8
187.0,10.0,0.0,0.0,0.1643,0.8
188.0,10.0,0.0,0.0,0,0.8
189.0,10.0,0.0,0.0,0.0042,0.8
190.0,10.0,0.0,0.0,0,0.8
191.0,10.0,0.0,0.0,0.0555,0.8
192.0,10.0,0.0,0.0,0,0.8
193.0,10.0,0.0,0.0,0.0458,0.8
194.0,10.0,0.0,0.0,0.0548,0.8
195.0,10.0,0.0,0.0,0,0.8
196.0,10.0,0.0,0.0,0.0697,0.8
