time,inflow_rate
0,1.5
1,1.5
2,1.5
3,1.5
4,1.5
5,1.5
6,1.5
7,1.5
8,1.5
9,1.5
10,1.5
11,1.5
12,1.5
13,1.5
14,1.5
15,1.5
16,1.5
17,1.5
18,1.5
19,1.5
20,1.5
21,1.5
22,1.5
23,1.5
24,1.5
25,1.5
26,1.5
27,1.5
28,1.5
29,1.5
30,1.5
31,1.5
32,1.5
33,1.5
34,1.5
35,1.5
36,1.5
37,1.5
38,1.5
39,1.5
40,1.5
41,1.5
42,1.5
43,1.5
44,1.5
45,1.5
46,1.5
47,1.5
48,1.5
49,1.5
50,0.8
51,0.8
52,0.8
53,0.8
54,0.8
55,0.8
56,0.8
57,0.8
58,0.8
59,0.8
60,0.8
61,0.8
62,0.8
63,0.8
64,0.8
65,0.8
66,0.8
67,0.8
68,0.8
69,0.8
70,0.8
71,0.8
72,0.8
73,0.8
74,0.8
75,0.8
76,0.8
77,0.8
78,0.8
79,0.8
80,0.8
81,0.8
82,0.8
83,0.8
84,0.8
85,0.8
86,0.8
87,0.8
88,0.8
89,0.8
90,0.8
91,0.8
92,0.8
93,0.8
94,0.8
95,0.8
96,0.8
97,0.8
98,0.8
99,0.8
100,2.0
101,2.0
102,2.0
103,2.0
104,2.0
105,2.0
106,2.0
107,2.0
108,2.0
109,2.0
110,2.0
111,2.0
112,2.0
113,2.0
114,2.0
115,2.0
116,2.0
117,2.0
118,2.0
119,2.0
120,2.0
121,2.0
122,2.0
123,2.0
124,2.0
125,2.0
126,2.0
127,2.0
128,2.0
129,2.0
130,2.0
131,2.0
132,2.0
133,2.0
134,2.0
135,2.0
136,2.0
137,2.0
138,2.0
139,2.0
140,2.0
141,2.0
142,2.0
143,2.0
144,2.0
145,2.0
146,2.0
147,2.0
148,2.0
149,2.0
150,1.2
151,1.2
152,1.2
153,1.2
154,1.2
155,1.2
156,1.2
157,1.2
158,1.2
159,1.2
160,1.2
161,1.2
162,1.2
163,1.2
164,1.2
165,1.2
166,1.2
167,1.2
168,1.2
169,1.2
170,1.2
171,1.2
172,1.2
173,1.2
174,1.2
175,1.2
176,1.2
177,1.2
178,1.2
179,1.2
180,1.2
181,1.2
182,1.2
183,1.2
184,1.2
185,1.2
186,1.2
187,1.2
188,1.2
189,1.2
190,1.2
191,1.2
192,1.2
193,1.2
194,1.2
195,1.2
196,1.2
197,1.2
198,1.2
199,1.2
200,1.2
