time,outflow_rate
0,-0.5
1,-0.5
2,-0.5
3,-0.5
4,-0.5
5,-0.5
6,-0.5
7,-0.5
8,-0.5
9,-0.5
10,-0.5
11,-0.5
12,-0.5
13,-0.5
14,-0.5
15,-0.5
16,-0.5
17,-0.5
18,-0.5
19,-0.5
20,-0.5
21,-0.5
22,-0.5
23,-0.5
24,-0.5
25,-0.5
26,-0.5
27,-0.5
28,-0.5
29,-0.5
30,-0.5
31,-0.5
32,-0.5
33,-0.5
34,-0.5
35,-0.5
36,-0.5
37,-0.5
38,-0.5
39,-0.5
40,-0.5
41,-0.5
42,-0.5
43,-0.5
44,-0.5
45,-0.5
46,-0.5
47,-0.5
48,-0.5
49,-0.5
50,-1.5
51,-1.5
52,-1.5
53,-1.5
54,-1.5
55,-1.5
56,-1.5
57,-1.5
58,-1.5
59,-1.5
60,-1.5
61,-1.5
62,-1.5
63,-1.5
64,-1.5
65,-1.5
66,-1.5
67,-1.5
68,-1.5
69,-1.5
70,-1.5
71,-1.5
72,-1.5
73,-1.5
74,-1.5
75,-1.5
76,-1.5
77,-1.5
78,-1.5
79,-1.5
80,-1.5
81,-1.5
82,-1.5
83,-1.5
84,-1.5
85,-1.5
86,-1.5
87,-1.5
88,-1.5
89,-1.5
90,-1.5
91,-1.5
92,-1.5
93,-1.5
94,-1.5
95,-1.5
96,-1.5
97,-1.5
98,-1.5
99,-1.5
100,-1.5
101,-1.5
102,-1.5
103,-1.5
104,-1.5
105,-1.5
106,-1.5
107,-1.5
108,-1.5
109,-1.5
110,-1.5
111,-1.5
112,-1.5
113,-1.5
114,-1.5
115,-1.5
116,-1.5
117,-1.5
118,-1.5
119,-1.5
120,-1.5
121,-1.5
122,-1.5
123,-1.5
124,-1.5
125,-1.5
126,-1.5
127,-1.5
128,-1.5
129,-1.5
130,-0.8
131,-0.8
132,-0.8
133,-0.8
134,-0.8
135,-0.8
136,-0.8
137,-0.8
138,-0.8
139,-0.8
140,-0.8
141,-0.8
142,-0.8
143,-0.8
144,-0.8
145,-0.8
146,-0.8
147,-0.8
148,-0.8
149,-0.8
150,-0.8
151,-0.8
152,-0.8
153,-0.8
154,-0.8
155,-0.8
156,-0.8
157,-0.8
158,-0.8
159,-0.8
160,-0.8
161,-0.8
162,-0.8
163,-0.8
164,-0.8
165,-0.8
166,-0.8
167,-0.8
168,-0.8
169,-0.8
170,-0.8
171,-0.8
172,-0.8
173,-0.8
174,-0.8
175,-0.8
176,-0.8
177,-0.8
178,-0.8
179,-0.8
180,-0.8
181,-0.8
182,-0.8
183,-0.8
184,-0.8
185,-0.8
186,-0.8
187,-0.8
188,-0.8
189,-0.8
190,-0.8
191,-0.8
192,-0.8
193,-0.8
194,-0.8
195,-0.8
196,-0.8
197,-0.8
198,-0.8
199,-0.8
200,-2.0
201,-2.0
202,-2.0
203,-2.0
204,-2.0
205,-2.0
206,-2.0
207,-2.0
208,-2.0
209,-2.0
210,-2.0
211,-2.0
212,-2.0
213,-2.0
214,-2.0
215,-2.0
216,-2.0
217,-2.0
218,-2.0
219,-2.0
220,-2.0
221,-2.0
222,-2.0
223,-2.0
224,-2.0
225,-2.0
226,-2.0
227,-2.0
228,-2.0
229,-2.0
230,-2.0
231,-2.0
232,-2.0
233,-2.0
234,-2.0
235,-2.0
236,-2.0
237,-2.0
238,-2.0
239,-2.0
240,-2.0
241,-2.0
242,-2.0
243,-2.0
244,-2.0
245,-2.0
246,-2.0
247,-2.0
248,-2.0
249,-2.0
250,-2.0
251,-2.0
252,-2.0
253,-2.0
254,-2.0
255,-2.0
256,-2.0
257,-2.0
258,-2.0
259,-2.0
260,-2.0
261,-2.0
262,-2.0
263,-2.0
264,-2.0
265,-2.0
266,-2.0
267,-2.0
268,-2.0
269,-2.0
270,-2.0
271,-2.0
272,-2.0
273,-2.0
274,-2.0
275,-2.0
276,-2.0
277,-2.0
278,-2.0
279,-2.0
280,-2.0
281,-2.0
282,-2.0
283,-2.0
284,-2.0
285,-2.0
286,-2.0
287,-2.0
288,-2.0
289,-2.0
290,-2.0
291,-2.0
292,-2.0
293,-2.0
294,-2.0
295,-2.0
296,-2.0
297,-2.0
298,-2.0
299,-2.0
300,-2.0
